BAIRRO;CEP;LOGRADOURO
abranches;8213001;RUA JOAO GAVA
abranches;8213002;RUA JOAO ENEAS DE SA
abranches;8213003;RUA MANOEL DOS SANTOS DA SILVA
abranches;8213004;RUA CORONEL JOAO CANDIDO MURICY
abranches;8213005;RUA ENGENHEIRO JOSE ORONTES PIRES
abranches;8213006;RUA DOUTOR MENDES DE ARAUJO
abranches;8213007;RUA ENGENHEIRO HANS HENRIQUE MARTIN PRUETER
abranches;8213008;RUA VITORIO JOAO BRUNOR
abranches;8213008;RUA MATEUS LEME
abranches;8213009;RUA JOSE MUGGIATI SOBRINHO
abranches;8213010;RUA JORGE BASSO
abranches;8213011;RUA DOUTOR RUBEM FLEURY DA ROCHA
abranches;8213012;RUA ALEXANDRE EDUARDO KLAT
abranches;8213013;RUA EDGARD SIMONE
abranches;8213014;RUA MANOEL OYOLA
abranches;8213015;RUA EDUARDO LAFFITTE
abranches;8213016;RUA LIDIA KLINGER
abranches;8213016;RUA ARNALDO GRANATTO
abranches;8213016;RUA RONEL REGNIER BARROZO
abranches;8213017;RUA ADOLFO HENRIQUE KLINGER
abranches;8213018;RUA PAULO MADER BITTENCOURT
abranches;8213018;RUA ESTEVAO MUSSAK
abranches;8213019;RUA RUY ARZUA PEREIRA
abranches;8213020;PRACA IRMA TEREZA
abranches;8213021;RUA PADRE JOSE JOAQUIM GORAL
abranches;8213022;RUA ANTONIO KRAINISKI
abranches;8213022;RUA PROFESSORA ESTELLA MARIANO LACOMBE
abranches;8213023;RUA ALDO PINHEIRO
abranches;8213024;RUA BENEDITO CORREIA DE FREITAS
abranches;8213025;RUA JOAO ANTONIO DAMBISKI
abranches;8213026;RUA ABILIO SEBASTIAO DA SILVA
abranches;8213027;RUA MARIA ANTONIA SILVA
abranches;8213028;RUA ANTONIO MARIANO DE LIMA
abranches;8213028;RUA FRANCISCO BUNICK
abranches;8213029;RUA EUGENIO FLOR
abranches;8213029;RUA VERONICA MICKOSZ BODZINSKI
abranches;8213030;RUA DESEMBARGADOR JOSE CARLOS RIBEIRO RIBAS
abranches;8213031;RUA OSWALDO MACIEL
abranches;8213032;RUA LORY LUNARDON
abranches;8213033;RUA CECILIA MIKOSZ
abranches;8213034;RUA THEODORO BRUNO BREITHAUPT
abranches;8213034;RUA ANDRE ANDRETTA
abranches;8213035;RUA DAS ESMERALDAS
abranches;8213036;RUA JOSE BOGUSZEWSKI
abranches;8213037;RUA PADRE SIGISMUND PIETROWSKI
abranches;8213038;RUA MARTIN KAISER
abranches;8213039;RUA CLARA KUCHENNY
abranches;8213039;RUA BRAULIO FARIA PRADO
abranches;8213039;RUA FLORENTINA FERNANDES CAMARGO
abranches;8213040;RUA CATHARINA PRODLIK
abranches;8213041;RUA HENRIQUE MORALES
abranches;8213042;RUA EXPEDICIONARIO ANTONIO SCHWARTZ
abranches;8213043;RUA ANTONIO VIEIRA DOS SANTOS
abranches;8213044;RUA ADELIRIO DA VEIGA
abranches;8213045;RUA DOUTORA IRIA CORREIA
abranches;8213046;RUA DIOGO PINTO DE AZEVEDO PORTUGAL
abranches;8213047;RUA JOAO KUBIS
abranches;8213047;RUA JOAO KRASINSKI
abranches;8213080;RUA FLORENTINA FERNANDES CAMARGO
abranches;8213081;RUA ANDRE ANDRETTA
abranches;8222017;RUA CARMELINA CAVASSIN
abranches;8222018;RUA LUCIA DECHANDT
abranches;8222019;RUA AUGUSTO DOS ANJOS
abranches;8222020;RUA ALUISIO DE AZEVEDO
abranches;8222021;RUA JOSE BIANECK FILHO
abranches;8222022;RUA MANOEL ARANHA
